"x"	"y"	"type"	"predictor"	"rank"	"feat"	"varimp"
"73"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	23	"X_hsa04066__12___89"	23.6436163706543
"74"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	24	"X_hsa04611__12___43"	22.8918101587396
"75"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	25	"X_hsa04012__33___3"	22.5425450568308
"76"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	26	"X_hsa04915__31___58"	22.1311482503118
"77"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	27	"X_hsa04010__26___12"	21.9223957339404
"78"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	28	"X_hsa04971__19___10"	17.7791875915873
"79"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	29	"X_hsa04915__31___40"	15.9185218983137
"80"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	30	"X_hsa04064__119___115"	13.7537836421861
"81"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	31	"X_hsa03320__1___63"	12.9651453906295
"82"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	32	"X_hsa05200__27___49"	12.8517234168948
"83"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	33	"X_hsa04010__26___13"	12.6556123676916
"84"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	34	"X_hsa04668__27___47"	12.3453559388803
"85"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	35	"X_hsa04010__11___13"	11.7375198557208
"86"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	36	"X_hsa04066__12___55"	11.6799141810673
"87"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	37	"X_hsa04910__8___14"	11.6543309978718
"88"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	38	"X_hsa04066__69___30"	11.4117970106262
"89"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	39	"X_hsa04010__5___61"	11.4078069196311
"90"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	40	"X_hsa04012__33___43"	10.5175066103334
"91"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	41	"X_hsa04010__35___14"	10.1341504010757
"92"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	42	"X_hsa05231__55___17"	10.0679312074799
"93"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	43	"X_hsa04151__22_81___99"	10.0340519483379
"94"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	44	"X_hsa04010__1___58"	9.18440022981036
"95"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	45	"X_hsa04010__103___64"	9.01224097655381
"96"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	46	"X_hsa04010__105___14"	8.14219057584429
"97"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	47	"X_hsa04310__53_62___34"	8.12296093391827
"98"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	48	"X_hsa05200__27___197"	8.0066691062051
"99"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	49	"X_hsa04066__2_3_4_7___11"	7.63308618654757
"100"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	50	"X_hsa04151__43___5"	6.91139796678932
"101"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	1	"X_hsa04919__39"	0.525532814644914
"102"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	2	"X_hsa04910__46"	0.336335337593214
"103"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	3	"X_hsa04914__34"	0.327947802977962
"104"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	4	"X_hsa04914__39"	0.318207970966077
"105"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	5	"X_hsa04010__58"	0.305869170710556
"106"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	6	"X_hsa04012__8"	0.297732105793478
"107"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	7	"X_hsa04310__34"	0.277224902415194
"108"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	8	"X_hsa04010__14"	0.256918667343113
"109"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	9	"X_hsa04010__61"	0.253540938935399
"110"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	10	"X_hsa05205__103"	0.252217947785849
"111"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	11	"X_hsa04668__38"	0.233005502457072
"112"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	12	"X_hsa04919__103"	0.206560517470303
"113"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	13	"X_hsa04010__65"	0.188315765760095
"114"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	14	"X_hsa05200__188"	0.185113671964271
"115"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	15	"X_hsa04151__99"	0.169133245598056
"116"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	16	"X_hsa04010__67"	0.160751906626478
"117"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	17	"X_hsa04310__31"	0.155923083355633
"118"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	18	"X_hsa04261__62"	0.155908467700482
"119"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	19	"X_hsa04520__18"	0.152575974850172
"120"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	20	"X_hsa04071__59_60"	0.149638216202538
"121"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	21	"X_hsa04010__64"	0.142638404759924
"122"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	22	"X_hsa04012__40"	0.137537561002302
"123"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	23	"X_hsa04012__43"	0.122569395592338
"124"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	24	"X_hsa04068__39"	0.119194607307776
"125"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	25	"X_hsa04010__62"	0.102482526656812
"126"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	26	"X_hsa04151__103"	0.0999001652140742
"127"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	27	"X_hsa04010__68"	0.0991255885782053
"128"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	28	"X_hsa04915__58"	0.095920060683412
"129"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	29	"X_hsa05200__194"	0.0935384224339181
"130"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	30	"X_hsa04530__11_62"	0.0921591730101836
"131"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	31	"X_hsa04010__63"	0.0920045751876537
"132"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	32	"X_hsa05231__17"	0.0894510070143983
"133"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	33	"X_hsa04152__78"	0.0867589586822496
"134"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	34	"X_hsa04919__102"	0.086128717223393
"135"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	35	"X_hsa04261__2"	0.0853662174184987
"136"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	36	"X_hsa04152__38"	0.0842739571127772
"137"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	37	"X_hsa04210__13"	0.0807705697028415
"138"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	38	"X_hsa04068__53"	0.0806277358961837
"139"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	39	"X_hsa04650__35"	0.080242876682452
"140"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	40	"X_hsa04520__4"	0.0749999712644632
"141"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	41	"X_hsa03320__63"	0.0736459925961523
"142"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	42	"X_hsa05200__203"	0.0707373649962288
"143"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	43	"X_hsa04014__65"	0.068124290062184
"144"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	44	"X_hsa04664__46"	0.0677883616493695
"145"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	45	"X_hsa04670__35"	0.0660467337062931
"146"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	46	"X_hsa04662__27"	0.0626238722420157
"147"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	47	"X_hsa04914__42"	0.0560825553780225
"148"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	48	"X_hsa04390__13"	0.0541995998839021
"149"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	49	"X_hsa04014__67"	0.0540527716334111
"150"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	50	"X_hsa05200__189"	0.0513158102299779
"151"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	1	"X_hsa04919__33___39"	0.311875907738006
"152"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	2	"X_hsa04520__22___4"	0.30515743786026
"153"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	3	"X_hsa04010__4___14"	0.235831789585257
"154"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	4	"X_hsa04010__105___14"	0.230147166866733
"155"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	5	"X_hsa04010__128___14"	0.228672359052585
"156"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	6	"X_hsa04520__22___9_57"	0.207922775734217
"157"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	7	"X_hsa05200__27___48"	0.205251000131374
"158"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	8	"X_hsa04010__35___14"	0.199113742424511
"159"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	9	"X_hsa05200__27___200"	0.191244070838952
"160"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	10	"X_hsa04010__41___14"	0.188662798264354
"161"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	11	"X_hsa04151__43___99"	0.183758986843029
"162"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	12	"X_hsa04910__7___46"	0.175020249487304
"163"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	13	"X_hsa04910__4___46"	0.173982510488769
"164"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	14	"X_hsa04910__6___46"	0.172657012364481
"165"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	15	"X_hsa04010__8___14"	0.172014165288055
"166"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	16	"X_hsa04910__5___46"	0.170980450842644
"167"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	17	"X_hsa04910__16___46"	0.170176672611307
"168"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	18	"X_hsa04910__8___46"	0.166752333655627
"169"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	19	"X_hsa04914__37___34"	0.166703960477041
"170"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	20	"X_hsa04310__39___34"	0.16626635309669
"171"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	21	"X_hsa04010__7___14"	0.160152637137097
"172"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	22	"X_hsa04914__37___39"	0.156960693648028
"173"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	23	"X_hsa04310__53_62___34"	0.150172522882725
"174"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	24	"X_hsa04310__52___34"	0.140371893199203
"175"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	25	"X_hsa04919__19___39"	0.136294950950435
"176"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	26	"X_hsa04919__20___39"	0.136294950950435
"177"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	27	"X_hsa04310__58___34"	0.126274953535082
"178"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	28	"X_hsa04010__11___14"	0.126219578071892
"179"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	29	"X_hsa04012__33___3"	0.126122177144474
"180"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	30	"X_hsa04310__44___34"	0.124035086573823
"181"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	31	"X_hsa04310__81___34"	0.12375897263838
"182"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	32	"X_hsa04010__126___14"	0.12316484940457
"183"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	33	"X_hsa04010__3___14"	0.120695281438517
"184"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	34	"X_hsa04310__71___34"	0.120160989840521
"185"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	35	"X_hsa04012__33___40"	0.117721343307585
"186"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	36	"X_hsa04012__33___43"	0.11344347108161
"187"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	37	"X_hsa04010__26___14"	0.111911176154445
"188"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	38	"X_hsa04310__73___34"	0.106846168092695
"189"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	39	"X_hsa04310__83___34"	0.106769664553788
"190"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	40	"X_hsa04151__22_81___99"	0.105603048214258
"191"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	41	"X_hsa04310__68___34"	0.102549577316621
"192"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	42	"X_hsa04310__53_62___32"	0.0997040556980844
"193"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	43	"X_hsa04010__7___13"	0.0994529687939401
"194"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	44	"X_hsa04010__25___13"	0.0993838098235364
"195"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	45	"X_hsa04010__25___14"	0.0979851671421281
"196"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	46	"X_hsa04310__64_65___34"	0.0955435906172926
"197"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	47	"X_hsa04310__75___34"	0.095325990569709
"198"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	48	"X_hsa04310__78___34"	0.0913260114768675
"199"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	49	"X_hsa05205__53_99_42_53___103"	0.0909437130278324
"200"	"path.vals"	"subtype.grps"	"path-wise"	"predictorPAM"	50	"X_hsa04261__54___2"	0.0866366655354503
"201"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	1	"X_hsa04919__39"	15.415390806979
"202"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	2	"X_hsa04520__18"	14.9698088080631
"203"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	3	"X_hsa04110__60_10_11_12_13_14_9"	14.5677756663788
"204"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	4	"X_hsa04520__4"	12.466190717242
"205"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	5	"X_hsa05200__188"	12.0302709185647
"206"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	6	"X_hsa04914__34"	11.9899123434242
"207"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	7	"X_hsa04919__101"	10.8458842526207
"208"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	8	"X_hsa04914__39"	10.7692997339079
"209"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	9	"X_hsa05200__200"	10.0599768598088
"210"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	10	"X_hsa04310__31"	9.8199388098503
"211"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	11	"X_hsa04261__62"	9.74381305777673
"212"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	12	"X_hsa04012__8"	9.66012749594696
"213"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	13	"X_hsa04915__58"	9.50947672101154
"214"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	14	"X_hsa04210__13"	9.42995096255004
